exit ip,optional comment
2001:1203:1000:1a::2,entry is 5.102.108.221
2001:1222:0:3e5::2,entry is 38.101.88.246
2001:1225::2,entry is 89.45.209.139
2001:1620:51a1::101,undocumented TOR exit
2001:19f0:4401:10fb:5400:6ff:fe86:b870,entry is 139.180.152.53
2001:19f0:5c00:4169:5400:6ff:fe30:803,entry is 216.128.150.191
2001:19f0:6001:455d:5400:6ff:fe3c:aa80,entry is 140.82.16.82
2001:19f0:8001:262:5400:4ff:fe3b:5fa6,entry is 45.63.38.134
2001:1b40:5000:90::5fb0:4d54,entry is 81.168.119.85
2001:1b40:5700:900a::1,entry is 157.90.113.23
2001:1b40:5700:90ee::1,entry is 157.90.113.23
2001:1b40:5700:9100::1,entry is 157.90.113.23
2001:1b40:5700:9354::1,entry is 57.128.249.250
2001:1b40:5700:940f::1,entry is 157.90.113.23
2001:1b40:5700:96ae::1,entry is 157.90.113.23
2001:1b40:5700:96f3::1,entry is 157.90.113.23
2001:1b40:5700:975c::1,entry is 157.90.113.23
2001:1b40:5700:997d::1,entry is 157.90.113.23
2001:1b40:5700:9d15::1,entry is 157.90.113.23
2001:1b60:2:1:3935:104:0:1,undocumented TOR exit
2001:1b60:3:221:3132:102:0:1,undocumented TOR exit
2001:1b60:3:221:4134:101:0:1,undocumented TOR exit
2001:1b60:3:239:1003:103:0:1,undocumented TOR exit
2001:1b60:3:239:1003:106:0:1,undocumented TOR exit
2001:2035:0:2988::2,entry is 31.59.100.1
2001:41d0:304:300::3de9,entry is 107.175.24.166
2001:41d0:403:ce8::,entry is 51.254.167.233
2001:4ba0:cafe:1326::1,entry is 85.14.247.169
2001:4ba0:cafe:aef::1,entry is 78.31.64.152
2001:620:20d0::24,undocumented TOR exit
2001:648:2ffe:501:cc00:11ff:fef4:59d6,entry is 83.212.72.114
2001:67c:198c:906:24:409:0:18,entry is 65.109.87.121
2001:67c:198c:906:24:409:0:2d,entry is 65.109.87.121
2001:67c:198c:906:24:409:0:46,entry is 65.108.203.36
2001:67c:198c:906:24:409:0:5f,entry is 65.109.87.121
2001:67c:198c:906:24:409:0:70,entry is 65.108.203.35
2001:67c:198c:906:24:409:0:81,entry is 65.109.65.238
2001:67c:2044:1905:cc19:acff:fe63:8040,entry is 103.179.189.64
2001:67c:2044:c141:0:1:6431:1,undocumented TOR exit
2001:67c:2608::1,undocumented TOR exit
2001:67c:2628:647:28:106:0:2a,entry is 65.108.203.35
2001:67c:2628:647:28:106:0:32,entry is 65.108.203.35
2001:67c:2628:647:28:106:0:62,entry is 65.108.203.37
2001:67c:2628:647:28:106:0:9a,entry is 65.109.87.121
2001:67c:2628:647:29:205:0:44,entry is 65.109.65.238
2001:67c:2628:647:36:2300:0:4b,entry is 65.109.87.121
2001:67c:2660:425:4:2203:0:1e,entry is 65.108.203.35
2001:67c:2660:425:4:2203:0:42,entry is 65.108.203.35
2001:67c:2660:425:4:2203:0:7f,entry is 65.109.65.238
2001:67c:2660:425:5:2104:0:45,entry is 65.109.65.238
2001:67c:2660:425:5:2104:0:4f,entry is 65.108.203.36
2001:67c:2660:425:5:2104:0:5c,entry is 65.109.87.121
2001:67c:2660:425:5:2104:0:63,entry is 65.109.87.121
2001:67c:289c:2::234,undocumented TOR exit
2001:67c:289c:2::235,undocumented TOR exit
2001:67c:289c:2::35,undocumented TOR exit
2001:67c:289c:2::36,undocumented TOR exit
2001:67c:289c:2::37,undocumented TOR exit
2001:67c:289c:2::38,undocumented TOR exit
2001:67c:289c:2::39,undocumented TOR exit
2001:67c:289c:2::40,undocumented TOR exit
2001:67c:289c:2::45,undocumented TOR exit
2001:67c:289c:2::46,undocumented TOR exit
